Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Domicili,Valor
1997,01,04,20,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,178
1997,01,04,20,Dues persones: una de 18-64 anys i l'altra de 65 i més,430
1997,01,04,20,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,1696
1997,01,04,20,Un home de 18 a 64 anys,323
1997,01,04,20,Un home de 65 anys i més,130
1997,01,04,20,Una dona de 18 a 64 anys,453
1997,01,04,20,Una dona de 65 anys i més,528
1997,01,04,21,Altres domicilis amb una o més persones menors de 18 anys,424
1997,01,04,21,Dues persones de 18 a 64 anys,301
1997,01,04,21,Dues persones de 65 anys i més,312
1997,01,04,21,Dues persones o més totes majors de 18 anys,1113
1997,01,04,21,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,17
1997,01,04,21,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,63
1997,01,04,21,Dues persones: una de 18-64 anys i l'altra de 65 i més,211
1997,01,04,21,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,530
1997,01,04,21,Un home de 18 a 64 anys,108
1997,01,04,21,Un home de 65 anys i més,47
1997,01,04,21,Una dona de 18 a 64 anys,135
1997,01,04,21,Una dona de 65 anys i més,221
1997,01,05,22,Altres domicilis amb una o més persones menors de 18 anys,105
1997,01,05,22,Dues persones de 18 a 64 anys,125
1997,01,05,22,Dues persones de 65 anys i més,50
1997,01,05,22,Dues persones o més totes majors de 18 anys,181
1997,01,05,22,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,9
1997,01,05,22,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,32
1997,01,05,22,Dues persones: una de 18-64 anys i l'altra de 65 i més,42
1997,01,05,22,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,222
1997,01,05,22,Un home de 18 a 64 anys,48
1997,01,05,22,Un home de 65 anys i més,9
1997,01,05,22,Una dona de 18 a 64 anys,55
1997,01,05,22,Una dona de 65 anys i més,57
1997,01,05,23,Altres domicilis amb una o més persones menors de 18 anys,646
1997,01,05,23,Dues persones de 18 a 64 anys,685
1997,01,05,23,Dues persones de 65 anys i més,660
1997,01,05,23,Dues persones o més totes majors de 18 anys,1839
1997,01,05,23,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,46
1997,01,05,23,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,188
1997,01,05,23,Dues persones: una de 18-64 anys i l'altra de 65 i més,373
1997,01,05,23,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,1166
1997,01,05,23,Un home de 18 a 64 anys,316
1997,01,05,23,Un home de 65 anys i més,117
1997,01,05,23,Una dona de 18 a 64 anys,394
1997,01,05,23,Una dona de 65 anys i més,683
1997,01,05,24,Altres domicilis amb una o més persones menors de 18 anys,479
1997,01,05,24,Dues persones de 18 a 64 anys,381
1997,01,05,24,Dues persones de 65 anys i més,267
1997,01,05,24,Dues persones o més totes majors de 18 anys,1334
1997,01,05,24,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,28
1997,01,05,24,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,85
1997,01,05,24,Dues persones: una de 18-64 anys i l'altra de 65 i més,203
1997,01,05,24,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,705
1997,01,05,24,Un home de 18 a 64 anys,171
1997,01,05,24,Un home de 65 anys i més,50
1997,01,05,24,Una dona de 18 a 64 anys,176
1997,01,05,24,Una dona de 65 anys i més,301
1997,01,05,25,Altres domicilis amb una o més persones menors de 18 anys,670
1997,01,05,25,Dues persones de 18 a 64 anys,649
1997,01,05,25,Dues persones de 65 anys i més,721
1997,01,05,25,Dues persones o més totes majors de 18 anys,2016
1997,01,05,25,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,32
1997,01,05,25,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,168
1997,01,05,25,Dues persones: una de 18-64 anys i l'altra de 65 i més,475
1997,01,05,25,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,1129
1997,01,05,25,Un home de 18 a 64 anys,291
1997,01,05,25,Un home de 65 anys i més,159
1997,01,05,25,Una dona de 18 a 64 anys,441
1997,01,05,25,Una dona de 65 anys i més,765
1997,01,05,26,Altres domicilis amb una o més persones menors de 18 anys,1301
1997,01,05,26,Dues persones de 18 a 64 anys,1503
1997,01,05,26,Dues persones de 65 anys i més,1524
1997,01,05,26,Dues persones o més totes majors de 18 anys,4236
1997,01,05,26,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,62
1997,01,05,26,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,349
1997,01,05,26,Dues persones: una de 18-64 anys i l'altra de 65 i més,1117
1997,01,05,26,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,2104
1997,01,05,26,Un home de 18 a 64 anys,672
1997,01,05,26,Un home de 65 anys i més,310
1997,01,05,26,Una dona de 18 a 64 anys,914
1997,01,05,26,Una dona de 65 anys i més,1926
1997,01,05,27,Altres domicilis amb una o més persones menors de 18 anys,789
1997,01,05,27,Dues persones de 18 a 64 anys,1121
1997,01,05,27,Dues persones de 65 anys i més,856
1997,01,05,27,Dues persones o més totes majors de 18 anys,2223
1997,01,05,27,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,44
1997,01,05,27,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,242
1997,01,05,27,Dues persones: una de 18-64 anys i l'altra de 65 i més,521
1997,01,05,27,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,1616
1997,01,05,27,Un home de 18 a 64 anys,547
1997,01,05,27,Un home de 65 anys i més,187
1997,01,05,27,Una dona de 18 a 64 anys,813
1997,01,05,27,Una dona de 65 anys i més,1012
1997,01,06,28,Altres domicilis amb una o més persones menors de 18 anys,440
1997,01,06,28,Dues persones de 18 a 64 anys,626
1997,01,06,28,Dues persones de 65 anys i més,473
1997,01,06,28,Dues persones o més totes majors de 18 anys,1289
1997,01,06,28,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,25
