Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Edat,Valor
1997,01,08,44,30-39 anys,3550
1997,01,08,44,40-49 anys,3187
1997,01,08,44,50-59 anys,3158
1997,01,08,44,60-69 anys,3437
1997,01,08,44,>70 anys,3014
1997,01,08,45,0-9 anys,1521
1997,01,08,45,10-19 anys,2359
1997,01,08,45,20-29 anys,4266
1997,01,08,45,30-39 anys,3285
1997,01,08,45,40-49 anys,2696
1997,01,08,45,50-59 anys,3374
1997,01,08,45,60-69 anys,3731
1997,01,08,45,>70 anys,2436
1997,01,08,46,0-9 anys,835
1997,01,08,46,10-19 anys,1035
1997,01,08,46,20-29 anys,2088
1997,01,08,46,30-39 anys,2151
1997,01,08,46,40-49 anys,1093
1997,01,08,46,50-59 anys,1356
1997,01,08,46,60-69 anys,3329
1997,01,08,46,>70 anys,2613
1997,01,08,47,0-9 anys,178
1997,01,08,47,10-19 anys,260
1997,01,08,47,20-29 anys,380
1997,01,08,47,30-39 anys,328
1997,01,08,47,40-49 anys,217
1997,01,08,47,50-59 anys,216
1997,01,08,47,60-69 anys,347
1997,01,08,47,>70 anys,292
1997,01,08,48,0-9 anys,1010
1997,01,08,48,10-19 anys,1842
1997,01,08,48,20-29 anys,3053
1997,01,08,48,30-39 anys,2184
1997,01,08,48,40-49 anys,2077
1997,01,08,48,50-59 anys,2394
1997,01,08,48,60-69 anys,2574
1997,01,08,48,>70 anys,1746
1997,01,08,49,0-9 anys,655
1997,01,08,49,10-19 anys,1452
1997,01,08,49,20-29 anys,1553
1997,01,08,49,30-39 anys,1087
1997,01,08,49,40-49 anys,1476
1997,01,08,49,50-59 anys,1030
1997,01,08,49,60-69 anys,853
1997,01,08,49,>70 anys,526
1997,01,08,50,0-9 anys,1291
1997,01,08,50,10-19 anys,2017
1997,01,08,50,20-29 anys,2910
1997,01,08,50,30-39 anys,2147
1997,01,08,50,40-49 anys,1973
1997,01,08,50,50-59 anys,1954
1997,01,08,50,60-69 anys,1812
1997,01,08,50,>70 anys,1293
1997,01,08,51,0-9 anys,860
1997,01,08,51,10-19 anys,1356
1997,01,08,51,20-29 anys,2270
1997,01,08,51,30-39 anys,1746
1997,01,08,51,40-49 anys,1356
1997,01,08,51,50-59 anys,1733
1997,01,08,51,60-69 anys,1835
1997,01,08,51,>70 anys,1574
