Data_Referencia,Codi_Districte,Codi_Barri,Poblacio,Import_Total,Renda_Mitjana
2018,01,02,16734,201870801,12063.511473646467
2018,01,03,14467,173923281,12022.06960669109
2018,01,04,22260,298053049,13389.624842767296
2018,02,05,31766,538087309,16939.09554240383
2018,02,06,51020,849440845,16649.173755390042
2018,02,07,43241,936808717,21664.82544344488
2018,02,08,42047,847249073,20150.048112826124
2018,02,09,57348,1066109437,18590.17641417312
2018,02,10,37856,622734852,16450.096470836856
2018,03,11,39312,471995577,12006.399496336997
2018,03,12,1133,11487487,10139
2018,03,13,30375,378762454,12469.545810699588
2018,03,14,10158,153788909,15139.683894467415
2018,03,15,15733,226586057,14401.961291552787
2018,03,16,18544,270814547,14603.890584555651
2018,03,17,23744,341955432,14401.76179245283
2018,03,18,40731,653929597,16054.837764847414
2018,04,19,45394,959874087,21145.395580913777
2018,04,20,23728,454623189,19159.77701449764
2018,04,21,11930,346349848,29031.83973176865
2018,05,22,4635,91581194,19758.617907227617
2018,05,23,24851,651888321,26231.87481389079
2018,05,24,16508,503985094,30529.748849042888
2018,05,25,25531,677274067,26527.5181935686
2018,05,26,47298,1278705635,27035.088904393422
2018,05,27,29235,635089820,21723.61279288524
2018,06,28,15777,297797081,18875.393357419027
2018,06,29,7358,108914903,14802.242864908943
2018,06,30,13037,238853996,18321.23924215694
2018,06,31,49521,849645966,17157.28612103956
2018,06,32,34090,620098863,18190.05171604576
2018,07,33,25406,403224791,15871.242659214358
2018,07,34,8900,129133318,14509.361573033708
2018,07,35,36455,559772539,15355.164970511589
2018,07,36,9310,166229815,17854.97475832438
2018,07,37,31411,357888770,11393.740091050906
2018,07,38,11527,144497740,12535.589485555653
2018,07,39,6917,93494303,13516.597224230158
2018,07,40,4986,72345606,14509.748495788206
2018,07,41,5644,96448200,17088.62508858965
2018,07,42,558,7887888,14136
2018,07,43,26442,397168620,15020.369866122079
2018,08,44,25315,360359683,14235.025992494568
2018,08,45,25235,323105318,12803.856469189617
2018,08,46,15427,164594319,10669.236987100538
2018,08,47,2236,22480379,10053.836762075134
2018,08,48,15093,218012376,14444.601868415823
2018,08,49,6807,90752633,13332.251065080065
2018,08,50,15572,151135147,9705.570703827383
2018,08,51,12317,130321613,10580.629455224487
2018,08,52,26223,306743419,11697.495290393928
2018,08,53,7279,66253385,9101.989971149884
2018,08,54,2840,24371060,8581.359154929578
2018,08,55,10542,85608427,8120.700720925821
2018,08,56,1378,12727208,9236
2018,09,57,9954,89847444,9026.265220012056
2018,09,58,2484,22599448,9098.006441223832
2018,09,59,12611,145494734,11537.12901435255
2018,09,60,56891,889551524,15636.067638114991
2018,09,61,28849,419672709,14547.218586432806
2018,09,62,14077,204645775,14537.598565035163
2018,09,63,21950,328235294,14953.771936218678
2018,10,64,37909,583051408,15380.289852014033
2018,10,65,26611,402928068,15141.410243884107
2018,10,66,15230,238513172,15660.746684175969
2018,10,67,9168,211172648,23033.665794066317
2018,10,68,33565,535571933,15956.261969313273
2018,10,69,13469,245227464,18206.805553493206
2018,10,70,23458,230943456,9844.976383323386
2018,10,71,20299,292934152,14430.96467806296
2018,10,72,25738,355259610,13802.922138472297
2018,10,73,28382,353744498,12463.691706010852
2019,01,01,47753,465507927,9748.244654786087
2019,01,02,18829,246075872,13068.982526953105
2019,01,03,14745,185441128,12576.543099355713
2019,01,04,22815,315714423,13838.019855358318
2019,02,05,32329,567573033,17556.158031488758
2019,02,06,51238,875552027,17087.943069596782
2019,02,07,43552,973192414,22345.52750734754
2019,02,08,42550,871304592,20477.193701527616
2019,02,09,57724,1099145887,19041.401964520825
2019,02,10,38114,649535065,17041.902319357716
2019,03,11,39920,502957565,12599.1373997996
2019,03,12,1177,12253747,10411
2019,03,13,30751,397722190,12933.634353354362
2019,03,14,10223,159687541,15620.418761615963
2019,03,15,15927,238545678,14977.439442456207
2019,03,16,19187,293359951,15289.516391306614
2019,03,17,24200,356993711,14751.806239669422
2019,03,18,41645,684387018,16433.83402569336
2019,04,19,45852,994566926,21690.80794730873
2019,04,20,23743,471015966,19838.09821842227
2019,04,21,11877,346962617,29212.98450787236
2019,05,22,4652,100519904,21607.889939810833
2019,05,23,24859,665157204,26757.198761012107
2019,05,24,16508,512656680,31055.044826750665
2019,05,25,25738,704033770,27353.864713652965
2019,05,26,47430,1277507139,26934.580202403544
2019,05,27,29454,653869491,22199.683947850885
2019,06,28,15897,304290056,19141.350946719507
2019,06,29,7411,116470843,15715.941573336931
2019,06,30,13233,251973959,19041.332955490063
2019,06,31,49939,885773823,17737.11574120427
2019,06,32,34604,655974820,18956.618310021964
2019,07,33,25598,424849096,16596.964450347685
2019,07,34,9101,137311343,15087.500604329194
2019,07,35,36798,585518096,15911.682591445187
2019,07,36,9369,174145726,18587.440068310385
2019,07,37,31775,377005381,11864.842832415421
2019,07,38,11661,150175826,12878.468913472258
2019,07,39,7182,97967575,13640.70941241994
2019,07,40,5003,75147847,15020.557065760544
2019,07,41,5709,100064369,17527.477491679805
2019,07,42,593,8437204,14228
2019,07,43,27068,417369311,15419.288865080538
2019,08,44,25540,377225408,14769.984651527016
2019,08,45,26247,346295566,13193.719891797158
2019,08,46,15596,172346015,11050.654975634778
2019,08,47,2244,23369283,10414.11898395722
2019,08,48,15180,225198606,14835.217786561265
2019,08,49,6791,94741486,13951.036077160948
2019,08,50,16070,162813022,10131.488612321094
2019,08,51,12463,136103630,10920.615421648079
2019,08,52,26518,323690164,12206.432008447093
2019,08,53,7536,72566283,9629.283837579618
2019,08,54,2866,26016156,9077.514305652478
2019,08,55,10772,91466032,8491.090976606016
2019,08,56,1379,13129459,9521
2019,09,57,10231,96232822,9406.003518717624
2019,09,58,2553,23982687,9393.923619271445
2019,09,59,12991,155704892,11985.597105688554
2019,09,60,57189,923231818,16143.520921855601
2019,09,61,29042,437085600,15050.12051511604
2019,09,62,14426,217870842,15102.650908082629
2019,09,63,22070,340413349,15424.256864521976
2019,10,64,38462,606983621,15781.384769382767
2019,10,65,26756,415951698,15546.10920914935
2019,10,66,15542,252566698,16250.591815725133
2019,10,67,9222,217309969,23564.299392756453
2019,10,68,33720,565119148,16759.16809015421
2019,10,69,13433,255136492,18993.26226457232
2019,10,70,24602,253366122,10298.598569222015
2019,10,71,20840,310751844,14911.31689059501
2019,10,72,25833,370852743,14355.775287423063
2019,10,73,28453,370634115,13026.187572487963
2020,01,01,47707,444833899,9324.289915526024
2020,01,02,21376,275746308,12899.80857035928
2020,01,03,14671,180496446,12302.94090382387
2020,01,04,22858,308244235,13485.179587015487
2020,02,05,33066,574422727,17372.005292445414
2020,02,06,51540,876910656,17014.176484284053
2020,02,07,43666,940481862,21538.08139055558
2020,02,08,42561,871791539,20483.342473156175
2020,02,09,57692,1103206307,19122.34464050475
2020,02,10,38433,649635175,16903.056618010563
2020,03,11,39693,496651080,12512.30897135515
2020,03,12,1196,13346164,11159
2020,03,13,31031,402433385,12968.753343430762
2020,03,14,10221,161652957,15815.767243909599
2020,03,15,15937,237290323,14889.271694798268
2020,03,16,19300,296268865,15350.718393782383
2020,03,17,24644,364198631,14778.389506573609
2020,03,18,43116,711153835,16493.96592912144
2020,04,19,45933,995979534,21683.311214159756
2020,04,20,23711,464314718,19582.24950444941
2020,04,21,11805,340393944,28834.72630241423
2020,05,22,4626,91757283,19835.123865110247
2020,05,23,24956,642144534,25731.06803974996
2020,05,24,16465,497943136,30242.522684482235
2020,05,25,25866,686799830,26552.224155261734
2020,05,26,47394,1259499704,26575.087648225515
2020,05,27,29997,631687732,21058.363569690304
2020,06,28,16126,308983934,19160.606101947167
2020,06,29,7509,116285012,15486.084964709016
2020,06,30,13263,252893218,19067.572796501547
