Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Educacio,Valor
1997,01,07,38,"Estudis universitaris, CFGS grau superior",588
1997,01,07,38,No consta,300
1997,01,07,38,Sense estudis,2339
1997,01,07,39,"Batxillerat elemental, graduat escolar, ESO, FPI",1196
1997,01,07,39,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",1173
1997,01,07,39,"Estudis primaris, certificat d'escolaritat, EGB",1859
1997,01,07,39,"Estudis universitaris, CFGS grau superior",730
1997,01,07,39,No consta,173
1997,01,07,39,Sense estudis,1258
1997,01,07,40,"Batxillerat elemental, graduat escolar, ESO, FPI",832
1997,01,07,40,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",884
1997,01,07,40,"Estudis primaris, certificat d'escolaritat, EGB",1500
1997,01,07,40,"Estudis universitaris, CFGS grau superior",592
1997,01,07,40,No consta,65
1997,01,07,40,Sense estudis,1070
1997,01,07,41,"Batxillerat elemental, graduat escolar, ESO, FPI",932
1997,01,07,41,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",1169
1997,01,07,41,"Estudis primaris, certificat d'escolaritat, EGB",1070
1997,01,07,41,"Estudis universitaris, CFGS grau superior",884
1997,01,07,41,No consta,119
1997,01,07,41,Sense estudis,456
1997,01,07,42,"Batxillerat elemental, graduat escolar, ESO, FPI",68
1997,01,07,42,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",33
1997,01,07,42,"Estudis primaris, certificat d'escolaritat, EGB",118
1997,01,07,42,"Estudis universitaris, CFGS grau superior",76
1997,01,07,42,No consta,11
1997,01,07,42,Sense estudis,89
1997,01,07,43,"Batxillerat elemental, graduat escolar, ESO, FPI",4326
1997,01,07,43,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",4661
1997,01,07,43,"Estudis primaris, certificat d'escolaritat, EGB",6611
1997,01,07,43,"Estudis universitaris, CFGS grau superior",2611
1997,01,07,43,No consta,625
1997,01,07,43,Sense estudis,4421
1997,01,08,44,"Batxillerat elemental, graduat escolar, ESO, FPI",4173
1997,01,08,44,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",4577
1997,01,08,44,"Estudis primaris, certificat d'escolaritat, EGB",6228
1997,01,08,44,"Estudis universitaris, CFGS grau superior",2625
1997,01,08,44,No consta,547
1997,01,08,44,Sense estudis,3659
1997,01,08,45,"Batxillerat elemental, graduat escolar, ESO, FPI",4367
1997,01,08,45,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",3932
1997,01,08,45,"Estudis primaris, certificat d'escolaritat, EGB",6463
1997,01,08,45,"Estudis universitaris, CFGS grau superior",1737
1997,01,08,45,No consta,498
1997,01,08,45,Sense estudis,4475
1997,01,08,46,"Batxillerat elemental, graduat escolar, ESO, FPI",2320
1997,01,08,46,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",2144
1997,01,08,46,"Estudis primaris, certificat d'escolaritat, EGB",4496
1997,01,08,46,"Estudis universitaris, CFGS grau superior",996
1997,01,08,46,No consta,214
1997,01,08,46,Sense estudis,3238
1997,01,08,47,"Batxillerat elemental, graduat escolar, ESO, FPI",437
1997,01,08,47,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",224
1997,01,08,47,"Estudis primaris, certificat d'escolaritat, EGB",741
1997,01,08,47,"Estudis universitaris, CFGS grau superior",66
1997,01,08,47,No consta,49
1997,01,08,47,Sense estudis,437
1997,01,08,48,"Batxillerat elemental, graduat escolar, ESO, FPI",3142
1997,01,08,48,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",3000
1997,01,08,48,"Estudis primaris, certificat d'escolaritat, EGB",4614
1997,01,08,48,"Estudis universitaris, CFGS grau superior",1536
1997,01,08,48,No consta,392
1997,01,08,48,Sense estudis,2557
1997,01,08,49,"Batxillerat elemental, graduat escolar, ESO, FPI",1797
1997,01,08,49,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",1039
1997,01,08,49,"Estudis primaris, certificat d'escolaritat, EGB",2488
1997,01,08,49,"Estudis universitaris, CFGS grau superior",437
1997,01,08,49,No consta,277
1997,01,08,49,Sense estudis,1342
1997,01,08,50,"Batxillerat elemental, graduat escolar, ESO, FPI",2863
1997,01,08,50,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",1518
1997,01,08,50,"Estudis primaris, certificat d'escolaritat, EGB",4203
1997,01,08,50,"Estudis universitaris, CFGS grau superior",384
1997,01,08,50,No consta,403
1997,01,08,50,Sense estudis,3949
1997,01,08,51,"Batxillerat elemental, graduat escolar, ESO, FPI",2320
1997,01,08,51,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",1453
1997,01,08,51,"Estudis primaris, certificat d'escolaritat, EGB",3668
1997,01,08,51,"Estudis universitaris, CFGS grau superior",491
1997,01,08,51,No consta,312
1997,01,08,51,Sense estudis,3126
1997,01,08,52,"Batxillerat elemental, graduat escolar, ESO, FPI",5320
1997,01,08,52,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",3746
1997,01,08,52,"Estudis primaris, certificat d'escolaritat, EGB",7204
1997,01,08,52,"Estudis universitaris, CFGS grau superior",1273
1997,01,08,52,No consta,667
1997,01,08,52,Sense estudis,6273
1997,01,08,53,"Batxillerat elemental, graduat escolar, ESO, FPI",1303
1997,01,08,53,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",558
1997,01,08,53,"Estudis primaris, certificat d'escolaritat, EGB",2324
1997,01,08,53,"Estudis universitaris, CFGS grau superior",176
1997,01,08,53,No consta,159
1997,01,08,53,Sense estudis,2236
1997,01,08,54,"Batxillerat elemental, graduat escolar, ESO, FPI",319
1997,01,08,54,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",112
1997,01,08,54,"Estudis primaris, certificat d'escolaritat, EGB",711
1997,01,08,54,"Estudis universitaris, CFGS grau superior",31
1997,01,08,54,No consta,101
1997,01,08,54,Sense estudis,575
1997,01,08,55,"Batxillerat elemental, graduat escolar, ESO, FPI",1870
1997,01,08,55,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",1156
1997,01,08,55,"Estudis primaris, certificat d'escolaritat, EGB",2865
1997,01,08,55,"Estudis universitaris, CFGS grau superior",288
1997,01,08,55,No consta,248
1997,01,08,55,Sense estudis,2048
1997,01,08,56,"Batxillerat elemental, graduat escolar, ESO, FPI",108
1997,01,08,56,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",32
1997,01,08,56,"Estudis primaris, certificat d'escolaritat, EGB",227
1997,01,08,56,"Estudis universitaris, CFGS grau superior",8
1997,01,08,56,No consta,36
1997,01,08,56,Sense estudis,170
1997,01,09,57,"Batxillerat elemental, graduat escolar, ESO, FPI",1486
1997,01,09,57,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",733
1997,01,09,57,"Estudis primaris, certificat d'escolaritat, EGB",2291
1997,01,09,57,"Estudis universitaris, CFGS grau superior",222
1997,01,09,57,No consta,180
1997,01,09,57,Sense estudis,1739
1997,01,09,58,"Batxillerat elemental, graduat escolar, ESO, FPI",314
1997,01,09,58,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",138
1997,01,09,58,"Estudis primaris, certificat d'escolaritat, EGB",808
1997,01,09,58,"Estudis universitaris, CFGS grau superior",12
1997,01,09,58,No consta,57
1997,01,09,58,Sense estudis,555
1997,01,09,59,"Batxillerat elemental, graduat escolar, ESO, FPI",1998
1997,01,09,59,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",991
1997,01,09,59,"Estudis primaris, certificat d'escolaritat, EGB",3161
1997,01,09,59,"Estudis universitaris, CFGS grau superior",277
1997,01,09,59,No consta,222
1997,01,09,59,Sense estudis,2064
1997,01,09,60,"Batxillerat elemental, graduat escolar, ESO, FPI",9290
1997,01,09,60,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",9654
1997,01,09,60,"Estudis primaris, certificat d'escolaritat, EGB",12799
1997,01,09,60,"Estudis universitaris, CFGS grau superior",4943
1997,01,09,60,No consta,1290
1997,01,09,60,Sense estudis,6063
1997,01,09,61,"Batxillerat elemental, graduat escolar, ESO, FPI",5273
1997,01,09,61,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",5336
1997,01,09,61,"Estudis primaris, certificat d'escolaritat, EGB",6916
1997,01,09,61,"Estudis universitaris, CFGS grau superior",2855
1997,01,09,61,No consta,698
1997,01,09,61,Sense estudis,2963
1997,01,09,62,"Batxillerat elemental, graduat escolar, ESO, FPI",2305
1997,01,09,62,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",2629
1997,01,09,62,"Estudis primaris, certificat d'escolaritat, EGB",3531
1997,01,09,62,"Estudis universitaris, CFGS grau superior",1593
1997,01,09,62,No consta,219
1997,01,09,62,Sense estudis,2038
1997,01,09,63,"Batxillerat elemental, graduat escolar, ESO, FPI",3741
1997,01,09,63,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",4401
1997,01,09,63,"Estudis primaris, certificat d'escolaritat, EGB",4814
1997,01,09,63,"Estudis universitaris, CFGS grau superior",2667
1997,01,09,63,No consta,431
1997,01,09,63,Sense estudis,2212
1997,01,10,64,"Batxillerat elemental, graduat escolar, ESO, FPI",6443
1997,01,10,64,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",7293
1997,01,10,64,"Estudis primaris, certificat d'escolaritat, EGB",8711
1997,01,10,64,"Estudis universitaris, CFGS grau superior",4501
1997,01,10,64,No consta,763
1997,01,10,64,Sense estudis,4396
1997,01,10,65,"Batxillerat elemental, graduat escolar, ESO, FPI",4317
1997,01,10,65,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",4293
1997,01,10,65,"Estudis primaris, certificat d'escolaritat, EGB",5266
1997,01,10,65,"Estudis universitaris, CFGS grau superior",2423
1997,01,10,65,No consta,581
1997,01,10,65,Sense estudis,2477
1997,01,10,66,"Batxillerat elemental, graduat escolar, ESO, FPI",2211
1997,01,10,66,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",2308
1997,01,10,66,"Estudis primaris, certificat d'escolaritat, EGB",2810
1997,01,10,66,"Estudis universitaris, CFGS grau superior",1541
1997,01,10,66,No consta,311
1997,01,10,66,Sense estudis,1406
1997,01,10,67,"Batxillerat elemental, graduat escolar, ESO, FPI",654
1997,01,10,67,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",1163
1997,01,10,67,"Estudis primaris, certificat d'escolaritat, EGB",625
1997,01,10,67,"Estudis universitaris, CFGS grau superior",1963
1997,01,10,67,No consta,133
1997,01,10,67,Sense estudis,259
1997,01,10,68,"Batxillerat elemental, graduat escolar, ESO, FPI",4144
1997,01,10,68,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",3732
1997,01,10,68,"Estudis primaris, certificat d'escolaritat, EGB",6837
1997,01,10,68,"Estudis universitaris, CFGS grau superior",1693
1997,01,10,68,No consta,481
1997,01,10,68,Sense estudis,3903
1997,01,10,69,"Batxillerat elemental, graduat escolar, ESO, FPI",776
1997,01,10,69,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",631
1997,01,10,69,"Estudis primaris, certificat d'escolaritat, EGB",1151
1997,01,10,69,"Estudis universitaris, CFGS grau superior",217
1997,01,10,69,No consta,60
1997,01,10,69,Sense estudis,907
1997,01,10,70,"Batxillerat elemental, graduat escolar, ESO, FPI",4148
1997,01,10,70,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",2353
1997,01,10,70,"Estudis primaris, certificat d'escolaritat, EGB",5669
1997,01,10,70,"Estudis universitaris, CFGS grau superior",723
1997,01,10,70,No consta,530
1997,01,10,70,Sense estudis,4828
1997,01,10,71,"Batxillerat elemental, graduat escolar, ESO, FPI",3144
1997,01,10,71,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",2759
